"Nome da conta",Plataforma,Dia,Alcance,Impressões,Frequência,Moeda,"Valor usado (BRL)","Configuração de atribuição","Custo por lead",Leads,"Início dos relatórios","Término dos relatórios"
,,,17533,59508,3.39405692,BRL,1828.68,,34.50339623,53,2025-08-01,2025-08-24
"STUDIO FEELZ UNIQUE",instagram,2025-08-24,769,1196,1.55526658,BRL,25.98005313,"Clique de 7 dias ou visualização de 1 dia",25.98005313,1,2025-08-24,2025-08-24
"STUDIO FEELZ UNIQUE",facebook,2025-08-24,3278,4100,1.25076266,BRL,64.809265,"Clique de 7 dias ou visualização de 1 dia",16.20231625,4,2025-08-24,2025-08-24
"STUDIO FEELZ UNIQUE",instagram,2025-08-23,520,931,1.79038462,BRL,38.6032971,"Clique de 7 dias ou visualização de 1 dia",12.8677657,3,2025-08-23,2025-08-23
"STUDIO FEELZ UNIQUE",facebook,2025-08-23,1514,1742,1.15059445,BRL,27.6767029,"Clique de 7 dias ou visualização de 1 dia",27.6767029,1,2025-08-23,2025-08-23
"STUDIO FEELZ UNIQUE",instagram,2025-08-22,531,1101,2.07344633,BRL,50.6,"Clique de 7 dias ou visualização de 1 dia",50.6,1,2025-08-22,2025-08-22
"STUDIO FEELZ UNIQUE",facebook,2025-08-22,289,406,1.40484429,BRL,7.35,"Clique de 7 dias ou visualização de 1 dia",,,2025-08-22,2025-08-22
"STUDIO FEELZ UNIQUE",instagram,2025-08-21,457,985,2.15536105,BRL,45.84,"Clique de 7 dias ou visualização de 1 dia",,,2025-08-21,2025-08-21
"STUDIO FEELZ UNIQUE",facebook,2025-08-21,260,372,1.43076923,BRL,10.05,"Clique de 7 dias ou visualização de 1 dia",,,2025-08-21,2025-08-21
"STUDIO FEELZ UNIQUE",instagram,2025-08-20,667,1285,1.92653673,BRL,57.68,"Clique de 7 dias ou visualização de 1 dia",57.68,1,2025-08-20,2025-08-20
"STUDIO FEELZ UNIQUE",facebook,2025-08-20,359,485,1.35097493,BRL,12.38,"Clique de 7 dias ou visualização de 1 dia",12.38,1,2025-08-20,2025-08-20
"STUDIO FEELZ UNIQUE",facebook,2025-08-19,559,797,1.42576029,BRL,20.32,"Clique de 7 dias ou visualização de 1 dia",,,2025-08-19,2025-08-19
"STUDIO FEELZ UNIQUE",instagram,2025-08-19,948,1714,1.80801688,BRL,67.35,"Clique de 7 dias ou visualização de 1 dia",33.675,2,2025-08-19,2025-08-19
"STUDIO FEELZ UNIQUE",instagram,2025-08-18,569,1311,2.30404218,BRL,68.69,"Clique de 7 dias ou visualização de 1 dia",,,2025-08-18,2025-08-18
"STUDIO FEELZ UNIQUE",facebook,2025-08-18,411,550,1.33819951,BRL,15.19,"Clique de 7 dias ou visualização de 1 dia",15.19,1,2025-08-18,2025-08-18
"STUDIO FEELZ UNIQUE",instagram,2025-08-17,310,890,2.87096774,BRL,40.7,"Clique de 7 dias ou visualização de 1 dia",,,2025-08-17,2025-08-17
"STUDIO FEELZ UNIQUE",facebook,2025-08-17,195,340,1.74358974,BRL,9.62,"Clique de 7 dias ou visualização de 1 dia",,,2025-08-17,2025-08-17
